,gene_name,count_t3d,count_t7d,count_control
3427,DPP6,2,7,5
9727,RP11-175P13.3,0,0,5
7371,NAALADL2,7,20,5
362,AC073254.1,2,0,5
2686,CSRNP3,1,7,5
8061,PCA3,0,3,5
11047,RP11-81F8.1,2,0,5
14181,ZNF385D,3,7,5
5181,IQCA1,3,7,5
7352,MYT1L,4,5,5
12750,TANK,0,1,5
6141,LINC01830,4,0,5
6921,METAP1D,2,0,5
8256,PHACTR2,0,2,5
8147,PDE4D,8,10,5
13799,VWC2L-IT1,0,0,5
12317,SORCS2,4,8,5
3320,DMD,2,6,5
4064,FBXO42,8,5,5
2988,CTIF,8,11,5
1585,C12orf56,0,7,5
2430,CNIH3,2,4,5
728,AGBL4,8,8,5
4454,GLI3,1,4,5
11812,SGO2,1,1,5
1654,C2orf27A,2,0,5
1913,CCDC171,5,9,5
10746,RP11-624L4.1,4,7,5
10550,RP11-517H2.6,0,2,5
4245,FSIP2,0,0,5
14041,ZDHHC14,5,9,5
9596,RP11-136C24.3,3,0,5
986,AP000487.6,0,10,5
13438,TTC21A,0,1,5
942,ANKZF1,0,0,5
11363,RP5-972B16.2,7,5,5
10102,RP11-341N18.1,0,2,5
12291,SNX29,1,13,5
487,AC124861.1,0,6,5
3359,DNAJC10,0,1,5
7375,NABP1,2,0,5
8042,PAUPAR,0,0,5
1144,ARID1B,3,4,5
7819,NYAP2,7,4,5
4060,FBXO36,2,5,5
7536,NFIB,0,6,5
6672,MACROD2,17,12,5
839,ALK,4,12,5
11673,SEC23A,0,2,5
7128,MPHOSPH9,0,1,5
9987,RP11-2F5.1,2,0,5
288,AC013472.4,1,7,5
12093,SLC4A10,5,5,5
14368,ZSCAN5A,0,0,5
11675,SEC24AP1,0,0,5
9112,RBMS3,0,16,5
8074,PCDH15,4,18,5
8573,PPFIA1,0,13,5
12687,SYNJ1,0,3,5
12567,STK32B,2,18,5
294,AC016745.3,1,1,5
4592,GPR55,0,0,5
13840,WDR49,0,0,5
10562,RP11-521D12.1,1,0,5
8136,PDE11A-AS1,0,0,5
9623,RP11-141M3.6,0,0,5
10236,RP11-387P12.1,1,0,5
13439,TTC21B,2,1,5
5054,IGFBP5,5,7,5
3251,DHRS3,0,4,5
6949,MFSD14C,0,4,5
5835,LINC00608,2,3,5
5810,LINC00486,5,10,5
6545,LRP1,0,4,5
27,ABCA6,1,0,5
5587,KRBOX1,0,0,5
788,AKAP13,1,2,5
364,AC073321.4,0,4,5
9154,RERE,6,16,5
10088,RP11-335E8.3,1,1,5
6954,MFSD6,2,4,5
8189,PDXDC1,3,2,5
3450,DROSHA,1,4,5
820,ALDH1A2,5,8,5
4148,FLACC1,3,2,5
11547,SAMD4A,2,7,5
6176,LINC01937,2,0,5
7628,NOL4L,0,6,5
6492,LMF1,6,5,5
5982,LINC01280,0,4,5
3739,EPHA6,1,1,5
1334,ATXN2,3,8,5
8940,R3HDM1,2,1,5
10374,RP11-444A22.1,5,5,5
12789,TBC1D5,5,2,5
12592,STRADB,0,5,5
742,AGPS,5,4,5
12564,STK3,4,4,5
8785,PRUNE2,1,5,5
4087,FCHSD2,6,5,5
2168,CEP43,1,0,5
10361,RP11-436D23.1,6,10,5
6371,LINC02613,1,6,5
8365,PKIB,3,0,5
5639,LAMA5,2,4,5
8211,PELI2,2,0,5
1618,C1QTNF7-AS1,2,0,4
373,AC074363.1,2,0,4
727,AGBL3,0,3,4
112,AC004067.6,1,0,4
11153,RP11-9J18.1,3,13,4
783,AK9,0,2,4
7757,NTM,4,8,4
1135,ARHGEF33,2,3,4
12331,SOX2-OT,4,5,4
2474,COBLL1,2,5,4
9829,RP11-226B15.1,1,0,4
4917,HOOK2,3,3,4
8705,PRKAG2,3,19,4
8666,PRANCR,3,4,4
11739,SERGEF,0,5,4
10748,RP11-625A6.1,0,4,4
500,AC144450.1,0,0,4
4292,GABRR2,0,4,4
5804,LINC00471,0,0,4
9662,RP11-157E16.1,0,0,4
1548,BTBD9,3,7,4
12647,SUPT3H,4,1,4
8185,PDS5A,2,2,4
7877,OR2K2,0,0,4
4674,GS1-215N23.2,2,1,4
531,ACKR3,0,0,4
10448,RP11-474G23.1,1,0,4
13725,VAV2,2,4,4
4070,FBXO6,0,1,4
13578,UBR5,0,5,4
4226,FRMD4A,8,21,4
9510,RP11-114H23.1,3,7,4
13085,TMEM179,1,3,4
1345,AVL9,0,0,4
2090,CDK14,3,12,4
3729,EPC2,1,0,4
6548,LRP2,3,5,4
4442,GK5,1,2,4
2291,CHRNA4,3,1,4
346,AC068489.1,3,0,4
12969,THSD4,1,12,4
12409,SPOCK1,9,8,4
12684,SYNE1,3,12,4
9345,RNU7-138P,0,0,4
11130,RP11-96C13.1,0,0,4
8990,RABGAP1L,1,13,4
13823,WDR12,1,0,4
4794,HDAC5,1,3,4
10584,RP11-532F6.4,0,0,4
13905,WWOX,10,4,4
10271,RP11-400D2.2,4,4,4
4313,GALNT15,0,0,4
12540,STAT4,1,1,4
3835,EXD2,0,4,4
9326,RNF38,3,9,4
10872,RP11-6G22.1,0,0,4
2990,CTNNA1,1,2,4
8709,PRKCA,10,14,4
11778,SF3B1,3,0,4
1252,ATF6,4,0,4
3779,ERI3,3,1,4
3774,ERCC6L2,3,0,4
1402,BAZ2B,4,10,4
7789,NUP153,1,0,4
12151,SLC9A9,4,9,4
11825,SH2D3C,0,2,4
2831,CTD-2021K4.1,3,0,4
218,AC009303.1,0,0,4
10184,RP11-36B6.2,4,5,4
1750,CACNB4,0,1,4
3113,DAPK2,2,7,4
1991,CCNT2-AS1,3,6,4
9260,RMDN3,1,1,4
7106,MOGAT1,2,0,4
1784,CAMKMT,3,4,4
1184,ARPC2,2,5,4
1744,CACNA2D1,3,7,4
10585,RP11-532F6.6,0,0,4
6393,LINC02696,0,0,4
9714,RP11-16N10.2,4,2,4
10741,RP11-624A4.2,4,0,4
6628,LTBP1,9,8,4
8712,PRKCE,9,14,4
4631,GRIA2,1,0,4
808,AKT3,2,1,4
9786,RP11-206L1.3,0,0,4
5930,LINC01122,3,8,4
13548,UBE2F,9,0,4
5433,KDM4C,0,2,4
6170,LINC01923,0,0,4
14000,ZBTB46,3,6,4
3443,DRAIC,5,12,4
12255,SNED1,2,8,4
8154,PDE6D,3,2,4
8316,PIK3AP1,0,2,4
1207,ASAP2,4,9,4
13742,VIL1,2,6,4
490,AC133680.1,2,3,4
8193,PDZD2,6,13,4
3363,DNAJC18,1,0,4
544,ACOXL,6,15,4
730,AGFG1,5,1,4
5648,LANCL1,0,0,4
3880,FAF2,2,0,4
10718,RP11-608O21.1,2,8,4
2769,CTC-367F4.1,1,4,4
3623,EIF4A3,0,0,4
10705,RP11-596D21.1,0,0,4
8238,PGAP1,4,1,4
11846,SH3RF3,7,9,4
3067,CYP27A1,1,0,4
7210,MSRA,1,3,4
8524,POLR1A,3,1,4
5372,KCNIP1,6,1,4
5621,L3MBTL4,5,3,4
5271,ITSN1,0,2,4
6010,LINC01358,3,6,4
11889,SIL1,6,13,4
6283,LINC02307,3,0,4
13392,TRRAP,4,3,4
304,AC017104.2,0,0,4
4994,HTT,1,4,4
6712,MAN2B2,1,0,4
5476,KIAA2012,6,5,4
951,ANO7,1,7,4
13055,TMEM131,1,2,4
1853,CASZ1,6,6,4
10345,RP11-432B6.3,0,2,4
9016,RALB,0,1,4
13873,WIPF1,0,2,4
11559,SAR1B,0,0,4
6205,LINC02021,0,0,4
13310,TRAPPC12,1,1,4
975,AP000304.12,2,2,4
1377,BABAM2,2,14,4
12830,TCF4,1,9,4
10679,RP11-574O7.1,0,0,4
1087,ARHGAP11A,0,0,4
7448,NCOA6,0,4,4
13576,UBR3,6,5,4
